@id,@lon,@lat,name,city
4502488291,20.9277266,41.9427811,Mujo,Kumanovo
4753448921,20.9713496,42.0075938,Garden,Struga
4753448923,20.959919,41.9916981,M House,Skopje
4753449021,20.9718414,42.0073693,Barcode,Strumica
4753449022,20.9721424,42.0072505,Tantra,Kratovo
4753449121,20.9602672,41.9913951,Ultra,Skopje
4988000122,22.4648163,41.6341662,Coffe House Downtown,Bitola
5062450021,21.4378942,42.0131776,Te Flladi,Prilep
5110720231,21.4375923,42.0011325,Shisha,Skopje
5284221296,21.4216953,42.0013652,Laika,Veles
5292130834,21.4444199,41.9768128,63,Skopje
5333583388,21.3991821,42.0034483,Giovani,Resen
5407742721,22.6382644,41.4372542,BU Coffee to go,Skopje
5570347724,20.8909814,41.8649667,Kafe Bar Bontona�,Prilep
5604182920,21.4253762,41.9986406,Mikel,Veles
5618221222,22.6383287,41.4403734,Concept Cafe,Struga
5672631206,21.7279322,42.132763,Rafaela,Skopje
5690140438,21.4264143,41.9922468,DejaVu,Strumica
5690140660,21.4266738,41.9922273,Istanbul,Ohrid
5713714222,21.3885778,42.0229571,AvAv Dog Park,Kumanovo
5755445995,21.553795,41.3460965,The Summer Gallery House Pub,Skopje
5772884451,21.7128683,42.1331153,Relax,Skopje
5772884452,21.712736,42.1333648,Donita,Skopje
5790395954,20.9632819,41.5129092,Kvadrat,Skopje
5790395956,21.5548027,41.3462162,Alfa1,Prilep
5841843563,21.2954889,41.9584413,Fresh,Kumanovo
5859233985,21.4341981,42.0128215,Kandi,Skopje
5863818383,20.9714342,42.0075662,Irish Pub,Kumanovo
5887799285,20.9600276,41.5129834,Romanse,Kratovo
5890717252,20.8071883,41.1073742,Liquid,Resen
5999496386,21.7173139,42.1325071,Julia,Kicevo
5999496486,21.6999903,42.1395687,Mocha Caffe,Prilep
6018277485,21.4284228,41.9971825,Squeeze Me,Skopje
6032865285,21.4361778,42.0002555,k8,Bitola
6054032912,21.428439,41.9970171,Manda Coffee Bar,Skopje
6054048726,21.4158769,42.0003534,Paladin M,Veles
6054048730,21.4113199,41.9956401,Woodstock,Kumanovo
6089711779,21.3970638,42.0038026,Led Zeppelin,Strumica
6145381755,21.3994796,42.0030494,Sugarland,Skopje
6228007184,21.393778,42.004566,Krem,Kicevo
6307066053,21.423008,42.0012294,fourplay,Kumanovo
6374712571,21.4109206,42.0055109,Joy Caffe & Bakery (Karposh),Bitola
6451451785,21.4260361,41.9907255,Coffee O'Clock,Strumica
6532695790,20.9615869,42.0065846,Saccaria,Skopje
6553424136,22.2338614,41.4143541,Queen Maria,Veles
6581571196,20.7963625,41.1117759,Liquid,Kratovo
6658556783,21.5548403,41.3462335,Amsterdam,Skopje
6680280012,21.4368049,41.9994044,Boomerang Shisha,Skopje
6802029812,21.4297354,41.9973064,Home Brews,Skopje
6814231792,21.4370091,41.9999671,Urban,Kumanovo
6814246690,21.4364615,42.0003942,Coffe Tearoom Lachi,Bitola
6814246723,21.4373153,41.999797,Bomonti,Skopje
6815434688,21.4225095,41.9967222,Toto,Resen
6815559888,21.4234973,41.9981835,Shakespeare Cafe,Prdejce
6815925985,21.4223059,41.9974479,Juicy&co,Ohrid
6815931391,21.4222629,42.0023667,Majahh,Kicevo
6821158386,21.4385935,42.0030613,Kairo,Skopje
6821158388,21.4304151,41.9940274,Stay you,Kratovo
6821158389,21.4300488,41.9924937,JJ&S,Veles
6821158686,21.434633,41.9976507,Mulliri,Skopje
6821158695,21.430389,41.9939851,MIG,Skopje
6827032732,21.438158,42.0009497,Gallery 7,Skopje
6827074010,21.4402065,42.0027827,Sultan Kejf,Strumica
6831648815,20.8043172,41.113395,Fabrique,Ohrid
6833103493,20.7998314,41.1163114,Una caffe,Skopje
7373066578,22.2005392,41.7497668,Timeout,Makedonski Brod
7714773224,20.9544522,41.5079104,Cafe City,Skopje
7714773229,20.959545,41.5093546,Harely Bar,Skopje
7714773230,20.96099,41.5095992,Checkin,Kumanovo
7806889866,20.974125,42.0079719,Playcademy,Bitola
7836016447,21.9403876,41.8644909,Plaza Caffe,Skopje
7836016448,21.9405999,41.8644634,Fenix Caffe,Strumica
7841139205,21.9382664,41.8651235,Plan B,Skopje
8016032986,21.7183287,42.1361939,LIFE coffee,Veles
8038054269,21.7185297,42.1298965,Park Cafe,Skopje
8121684194,21.4297974,41.9932519,Cafe Barcelona,Stip
8188528781,21.430208,41.9929511,Joy Caffe & Bakery (Centar),Bitola
8496716622,21.2703581,41.9843164,Burektore Bleta - ES,Skopje
8917369148,21.3332703,41.0311459,Coffee shop,Skopje
9163117743,21.405925,41.998628,Plato Coffee 2.0,Kumanovo
9178548996,21.4118885,41.5311071,Caffe Sadiku,Skopje
9200216438,21.4245361,41.9949215,Lafe,Prilep
9200216443,21.4355656,42.0010222,Coffee corner,Skopje
1.00E+15,21.4235227,41.9990758,Coffee Factory,Stip
1.00E+15,21.4243073,42.0000219,Juice Bar,Vinica
1.00E+15,21.4242077,41.9999119,Manhattan Cafe,Skopje
1.00E+15,21.4209424,41.9928073,My Space cafe,Prilep
1.00E+15,21.4642198,41.986059,Trend,Kumanovo
1.00E+15,21.4066353,42.0063746,La Cafetaria,Skopje
1.00E+15,21.415848,41.5254022,Caffe Bushi,Skopje
